aclnn_api,mindspore,pyboost,kbk,kernel_mod_src,pyboost_src,kernel_mod_gen,pyboost_gen,evidence,via_ops,via_kernel_mod_src,via_pyboost_src,via_kernel_mod_gen,via_pyboost_gen,custom_dispatch_ops,custom_dispatch_names,direct_match,suspected_fusion,cpp_funcs,kernel_mod_files,pyboost_files,remarks
aclnnLogSoftmaxBackward,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LogSoftmaxGrad,LogSoftmaxGrad,,,,LogSoftmaxGrad,LogSoftmaxGradAscend,,True,LogSoftmaxGradAscend,kernel_mod_impl/customize/log_softmax_grad_aclnn_kernel.cc;kernel_mod_impl/customize/log_softmax_grad_aclnn_kernel.h,,has_custom_dispatch
aclnnLogSumExp,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogSumExp,,,LogSumExp,LogSumExp,,,LogSumExp,False,,,,
aclnnLogdet,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLogicalAnd,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogicalAnd,,,LogicalAnd,LogicalAnd,,,LogicalAnd,False,,,,
aclnnLogicalNot,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogicalNot,,,LogicalNot,LogicalNot,,,LogicalNot,False,,,,
aclnnLogicalOr,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogicalOr,,,LogicalOr,LogicalOr,,,LogicalOr,False,,,,
aclnnLogicalXor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,LogicalXor,,,LogicalXor,LogicalXor,,,LogicalXor,False,,,,
aclnnLogit,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLogitGrad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnLtScalar,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,LessScalar,LessScalar,,,,LessScalar,LessScalarAscend,,True,LessScalarAscend,kernel_mod_impl/customize/less_scalar_aclnn_kernel.cc;kernel_mod_impl/customize/less_scalar_aclnn_kernel.h,,has_custom_dispatch
aclnnLtTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Less,,,Less,Less,,,,True,,,,
aclnnMaskedSelect,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MaskedSelect,MaskedSelect,,,,MaskedSelect,MaskedSelectAscend,MaskedSelect,False,MaskedSelectAclnnKernelMod,kernel_mod_impl/customize/masked_select_aclnn_kernel.cc;kernel_mod_impl/customize/masked_select_aclnn_kernel.h,,has_custom_dispatch
aclnnMaskedSoftmaxWithRelPosBias,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMatmul,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,BatchMatMul;Dense;MatMul;MatMulExt;MatMulV2,BatchMatMul;Dense;MatMul;MatMulExt;MatMulV2,,,,MatMulExt,MatMulExtAscend,MatMul,False,BMMAclnnKernelMod;DenseAclnnKernelMod;MMExtAclnnKernelMod;MatMulAclnnKernelMod,kernel_mod_impl/customize/batch_matmul_aclnn_kernel.cc;kernel_mod_impl/customize/batch_matmul_aclnn_kernel.h;kernel_mod_impl/customize/dense_aclnn_kernel.cc;kernel_mod_impl/customize/dense_aclnn_kernel.h;kernel_mod_impl/customize/matmul_aclnn_kernel.cc;kernel_mod_impl/customize/matmul_aclnn_kernel.h,,shared_by_5_ops;has_custom_dispatch
aclnnMatmulAllReduce,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MatMulAllReduce,MatMulAllReduce,,,,,,MatMulAllReduce,False,MatMulAllReduceAscend,kernel_mod_impl/customize/matmul_all_reduce_aclnn_kernel.cc;kernel_mod_impl/customize/matmul_all_reduce_aclnn_kernel.h,,
aclnnMatmulAllReduceAddRmsNorm,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MatmulAllReduceAddRmsNorm,MatmulAllReduceAddRmsNorm,,,,,,MatmulAllReduceAddRmsNorm,False,MatmulAllReduceAddRmsNormAscend,kernel_mod_impl/customize/matmul_allreduce_add_rmsnorm_aclnn_kernel.cc;kernel_mod_impl/customize/matmul_allreduce_add_rmsnorm_aclnn_kernel.h,,
aclnnMatmulAllReduceV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMatmulCompress,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMatmulCompressDequant,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMatmulReduceScatter,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MatmulReduceScatter,MatmulReduceScatter,,,,MatmulReduceScatter,MatmulReduceScatterAscend,MatmulReduceScatter,False,MatmulReduceScatterAscend,kernel_mod_impl/customize/matmul_reduce_scatter_aclnn_kernel.cc;kernel_mod_impl/customize/matmul_reduce_scatter_aclnn_kernel.h,,has_custom_dispatch
aclnnMatmulReduceScatterV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMatmulWeightNz,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMax,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen,BincountExt;Max;OneHotExt,BincountExt;OneHotExt,,Max,Max,,,Max,False,BincountExtAscend;OneHotExtAscend,kernel_mod_impl/customize/bincount_ext_aclnn_kernel.cc;kernel_mod_impl/customize/bincount_ext_aclnn_kernel.h;kernel_mod_impl/customize/one_hot_ext_aclnn_kernel.cc;kernel_mod_impl/customize/one_hot_ext_aclnn_kernel.h,,shared_by_3_ops
aclnnMaxDim,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen+custom_dispatch,ArgMaxWithValue;MaxDim,ArgMaxWithValue,,MaxDim,MaxDim,ArgMaxWithValue,ArgMaxWithValueAscend,MaxDim,False,ArgMaxWithValueAscend,kernel_mod_impl/customize/arg_with_value_aclnn_kernel.cc;kernel_mod_impl/customize/arg_with_value_aclnn_kernel.h,,shared_by_2_ops;has_custom_dispatch
aclnnMaxN,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxPool,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxPool2dWithIndices,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MaxPoolWithIndices,MaxPoolWithIndices,,,,MaxPoolWithIndices,MaxPoolWithIndicesAscend,,True,MaxPoolWithIndicesAscend,kernel_mod_impl/customize/max_pool_with_indices_aclnn_kernel.cc;kernel_mod_impl/customize/max_pool_with_indices_aclnn_kernel.h,,has_custom_dispatch
aclnnMaxPool2dWithIndicesBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MaxPoolGradWithIndices,MaxPoolGradWithIndices,,,,,,,True,MaxPoolGradWithIndicesAscend,kernel_mod_impl/customize/max_pool_grad_with_indices_aclnn_kernel.cc;kernel_mod_impl/customize/max_pool_grad_with_indices_aclnn_kernel.h,,
aclnnMaxPool2dWithMask,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MaxPoolWithMask,MaxPoolWithMask,,,,MaxPoolWithMask,MaxPoolWithMaskAscend,,True,MaxPoolWithMaskAscend,kernel_mod_impl/customize/max_pool_with_mask_aclnn_kernel.cc;kernel_mod_impl/customize/max_pool_with_mask_aclnn_kernel.h,,has_custom_dispatch
aclnnMaxPool2dWithMaskBackward,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MaxPoolGradWithMask,MaxPoolGradWithMask,,,,MaxPoolGradWithMask,MaxPoolGradWithMaskAscend,,True,MaxPoolGradWithMaskAscend,kernel_mod_impl/customize/max_pool_grad_with_mask_aclnn_kernel.cc;kernel_mod_impl/customize/max_pool_grad_with_mask_aclnn_kernel.h,,has_custom_dispatch
aclnnMaxPool3dWithArgmax,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxPool3dWithArgmaxBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxUnpool2d,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MaxUnpool2DExt,MaxUnpool2DExt,,,,,,,True,MaxUnpool2DExtAscend,kernel_mod_impl/customize/max_unpool2d_ext_aclnn_kernel.cc;kernel_mod_impl/customize/max_unpool2d_ext_aclnn_kernel.h,,
aclnnMaxUnpool2dBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxUnpool3d,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxUnpool3dBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaxV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMaximum,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Maximum,,,Maximum,Maximum,,,Maximum,False,,,,
aclnnMean,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,AdaptiveAvgPool3DExt;MeanExt,AdaptiveAvgPool3DExt;MeanExt,,,,,,,True,AdaptiveAvgPool3DExtAclnnKernelMod;MeanExtAscend,kernel_mod_impl/customize/adaptive_avg_pool3d_ext_aclnn_kernel.cc;kernel_mod_impl/customize/adaptive_avg_pool3d_ext_aclnn_kernel.h;kernel_mod_impl/customize/mean_ext_aclnn_kernel.cc;kernel_mod_impl/customize/mean_ext_aclnn_kernel.h,,shared_by_2_ops
aclnnMeanV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMedian,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,MedianExt,,,MedianExt,MedianExt,,,,True,,,,
aclnnMedianDim,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,MedianDim,,,MedianDim,MedianDim,,,MedianDim,False,,,,
aclnnMin,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen,BincountExt;Min,BincountExt,,Min,Min,,,Min,False,BincountExtAscend,kernel_mod_impl/customize/bincount_ext_aclnn_kernel.cc;kernel_mod_impl/customize/bincount_ext_aclnn_kernel.h,,shared_by_2_ops
aclnnMinDim,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen+custom_dispatch,ArgMinWithValue;MinDim,ArgMinWithValue,,MinDim,MinDim,ArgMinWithValue,ArgMinWithValueAscend,MinDim,False,ArgMinWithValueAscend,kernel_mod_impl/customize/arg_with_value_aclnn_kernel.cc;kernel_mod_impl/customize/arg_with_value_aclnn_kernel.h,,shared_by_2_ops;has_custom_dispatch
aclnnMinN,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMinimum,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Minimum,,,Minimum,Minimum,,,Minimum,False,,,,
aclnnMish,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,MishExt,,,MishExt,MishExt,,,,True,,,,
aclnnMishBackward,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,MishGradExt,,,MishGradExt,MishGradExt,,,,True,,,,
aclnnMlaPreprocess,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMlaPreprocessV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMlaProlog,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMlaPrologV2WeightNz,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMlaPrologV3WeightNz,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMm,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,Mm,Mm,,,,Mm,MmAscend,Mm,False,MmAclnnKernelMod,kernel_mod_impl/customize/matmul_aclnn_kernel.cc;kernel_mod_impl/customize/matmul_aclnn_kernel.h,,has_custom_dispatch
aclnnModulate,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnModulateBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeComputeExpertTokens,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeCombine,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MoeDistributeCombine,MoeDistributeCombine,,,,MoeDistributeCombine,MoeDistributeCombineAscend,MoeDistributeCombine,False,MoeDistributeCombineAscend,kernel_mod_impl/customize/moe_distribute_combine_aclnn_kernel.cc;kernel_mod_impl/customize/moe_distribute_combine_aclnn_kernel.h,,has_custom_dispatch
aclnnMoeDistributeCombineAddRmsNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeCombineAddRmsNormV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeCombineV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeCombineV3,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeCombineV4,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeDispatch,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MoeDistributeDispatch,MoeDistributeDispatch,,,,MoeDistributeDispatch,MoeDistributeDispatchAscend,MoeDistributeDispatch,False,MoeDistributeDispatchAscend,kernel_mod_impl/customize/moe_distribute_dispatch_aclnn_kernel.cc;kernel_mod_impl/customize/moe_distribute_dispatch_aclnn_kernel.h,,has_custom_dispatch
aclnnMoeDistributeDispatchV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeDispatchV3,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeDistributeDispatchV4,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeFinalizeRouting,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeFinalizeRoutingV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeFinalizeRoutingV2Grad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeFusedTopk,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeGatingTopK,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeGatingTopKSoftmax,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeGatingTopKSoftmaxV2,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeInitRouting,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeInitRoutingQuant,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeInitRoutingQuantV2,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MoeInitRoutingQuantV2,MoeInitRoutingQuantV2,,,,,,MoeInitRoutingQuantV2,False,MoeInitRoutingQuantV2Ascend,kernel_mod_impl/customize/moe_init_routing_quant_v2_aclnn_kernel.cc;kernel_mod_impl/customize/moe_init_routing_quant_v2_aclnn_kernel.h,,
aclnnMoeInitRoutingV2,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MoeInitRoutingV2,MoeInitRoutingV2,,,,,,MoeInitRoutingV2,False,MoeInitRoutingV2Ascend,kernel_mod_impl/customize/moe_init_routing_v2_aclnn_kernel.cc;kernel_mod_impl/customize/moe_init_routing_v2_aclnn_kernel.h,,
aclnnMoeInitRoutingV2Grad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeInitRoutingV3,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenPermute,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MoeTokenPermute,MoeTokenPermute,,,,MoeTokenPermute,MoeTokenPermuteAscend,MoeTokenPermute,False,MoeTokenPermuteAscend,kernel_mod_impl/customize/moe_token_permute_aclnn_kernel.cc;kernel_mod_impl/customize/moe_token_permute_aclnn_kernel.h,,has_custom_dispatch
aclnnMoeTokenPermuteGrad,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,MoeTokenPermuteGrad,,,MoeTokenPermuteGrad,MoeTokenPermuteGrad,,,MoeTokenPermuteGrad,False,,,,
aclnnMoeTokenPermuteWithEp,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenPermuteWithEpGrad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenPermuteWithRoutingMap,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenPermuteWithRoutingMapGrad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenUnpermute,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,InnerMoeTokenUnpermute,InnerMoeTokenUnpermute,,,,,,,True,InnerMoeTokenUnpermuteAscend,kernel_mod_impl/customize/inner_moe_token_unpermute_aclnn_kernel.cc;kernel_mod_impl/customize/inner_moe_token_unpermute_aclnn_kernel.h,,
aclnnMoeTokenUnpermuteGrad,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,MoeTokenUnpermuteGrad,MoeTokenUnpermuteGrad,,,,MoeTokenUnpermuteGrad,MoeTokenUnpermuteGradAscend,MoeTokenUnpermuteGrad,False,MoeTokenUnpermuteGradAscend,kernel_mod_impl/customize/moe_token_unpermute_aclnn_kernel_grad.cc;kernel_mod_impl/customize/moe_token_unpermute_aclnn_kernel_grad.h,,has_custom_dispatch
aclnnMoeTokenUnpermuteWithEp,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenUnpermuteWithEpGrad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenUnpermuteWithRoutingMap,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeTokenUnpermuteWithRoutingMapGrad,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMoeUpdateExpert,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMrgbaCustom,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMseLoss,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MSELossExt,MSELossExt,,,,,,,True,MSELossExtAclnnKernelMod,kernel_mod_impl/customize/mse_loss_ext_aclnn_kernel.cc;kernel_mod_impl/customize/mse_loss_ext_aclnn_kernel.h,,
aclnnMseLossBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MSELossGradExt,MSELossGradExt,,,,,,,True,MSELossGradExtAclnnKernelMod,kernel_mod_impl/customize/mse_loss_grad_ext_aclnn_kernel.cc;kernel_mod_impl/customize/mse_loss_grad_ext_aclnn_kernel.h,,
aclnnMseLossOut,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMul,✅,✅,✅,✅,✖️,✅,✅,kernel_mod_src+kernel_mod_gen+pyboost_gen,Mul;Outer;Square,Outer;Square,,Mul,Mul,,,Mul,False,OuterAscend;SquareAscend,kernel_mod_impl/customize/outer_aclnn_kernel.cc;kernel_mod_impl/customize/outer_aclnn_kernel.h;kernel_mod_impl/customize/square_aclnn_kernel.cc;kernel_mod_impl/customize/square_aclnn_kernel.h,,shared_by_3_ops
aclnnMuls,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,Muls,Muls,,,,Muls,MulsAscend,Muls,False,MulsAscend,kernel_mod_impl/customize/muls_aclnn_kernel.cc;kernel_mod_impl/customize/muls_aclnn_kernel.h,,has_custom_dispatch
aclnnMultiScaleDeformableAttentionGrad,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MultiScaleDeformableAttnGrad,MultiScaleDeformableAttnGrad,,,,,,,True,MultiScaleDeformableAttnGradAscend,kernel_mod_impl/customize/multi_scale_deformable_attn_grad_aclnn_kernel.cc;kernel_mod_impl/customize/multi_scale_deformable_attn_grad_aclnn_kernel.h,,
aclnnMultiScaleDeformableAttnFunction,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MultiScaleDeformableAttn,MultiScaleDeformableAttn,,,,,,,True,MultiScaleDeformableAttnAscend,kernel_mod_impl/customize/multi_scale_deformable_attn_aclnn_kernel.cc;kernel_mod_impl/customize/multi_scale_deformable_attn_aclnn_kernel.h,,
aclnnMultilabelMarginLoss,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMultinomial,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,MultinomialExt,MultinomialExt,,,,,,,True,MultinomialExtAscend,kernel_mod_impl/customize/multinomial_ext_aclnn_kernel.cc;kernel_mod_impl/customize/multinomial_ext_aclnn_kernel.h,,
aclnnMultinomialTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnMv,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,Mv,Mv,,,,Mv,MvAscend,Mv,False,MvAclnnKernelMod,kernel_mod_impl/customize/mv_aclnn_kernel.cc;kernel_mod_impl/customize/mv_aclnn_kernel.h,,has_custom_dispatch
aclnnNLLLoss,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NLLLoss,NLLLoss,,,,NLLLoss,NLLLossAscend,NLLLoss,False,NLLLossAclnnKernelMod,kernel_mod_impl/customize/nllloss_aclnn_kernel.cc;kernel_mod_impl/customize/nllloss_aclnn_kernel.h,,has_custom_dispatch
aclnnNLLLoss2d,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NLLLoss2d,NLLLoss2d,,,,NLLLoss2d,NLLLoss2dAscend,NLLLoss2d,False,NLLLoss2dAclnnKernelMod,kernel_mod_impl/customize/nllloss_2d_aclnn_kernel.cc;kernel_mod_impl/customize/nllloss_2d_aclnn_kernel.h,,has_custom_dispatch
aclnnNLLLoss2dBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,NLLLoss2dGrad,NLLLoss2dGrad,,,,,,,True,NLLLoss2dGradAclnnKernelMod,kernel_mod_impl/customize/nllloss_2d_grad_aclnn_kernel.cc;kernel_mod_impl/customize/nllloss_2d_grad_aclnn_kernel.h,,
aclnnNLLLossBackward,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,NLLLossGrad,NLLLossGrad,,,,,,,True,NLLLossGradAclnnKernelMod,kernel_mod_impl/customize/nllloss_grad_aclnn_kernel.cc;kernel_mod_impl/customize/nllloss_grad_aclnn_kernel.h,,
aclnnNanMedian,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNanMedianDim,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNanToNum,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NanToNum,NanToNum,,,,NanToNum,NanToNumAscend,NanToNum,False,NanToNumAscend,kernel_mod_impl/customize/nan_to_num_aclnn_kernel.cc;kernel_mod_impl/customize/nan_to_num_aclnn_kernel.h,,has_custom_dispatch
aclnnNeScalar,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,CountNonZero;NeScalar,CountNonZero;NeScalar,,,,NeScalar,NeScalarAscend,NeScalar,False,CountNonZeroAscend;NeScalarAscend,kernel_mod_impl/customize/count_nonzero_aclnn_kernel.cc;kernel_mod_impl/customize/count_nonzero_aclnn_kernel.h;kernel_mod_impl/customize/ne_scalar_aclnn_kernel.cc;kernel_mod_impl/customize/ne_scalar_aclnn_kernel.h,,shared_by_2_ops;has_custom_dispatch
aclnnNeTensor,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,NotEqual,,,NotEqual,NotEqual,,,,True,,,,
aclnnNeg,✅,✅,✅,✖️,✖️,✅,✅,kernel_mod_gen+pyboost_gen,Neg,,,Neg,Neg,,,Neg,False,,,,
aclnnNonMaxSuppression,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNonzero,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NonZero,NonZero,,,,NonZero,NonZeroAscend,NonZero,False,NonZeroAscend,kernel_mod_impl/customize/non_zero_aclnn_kernel.cc;kernel_mod_impl/customize/non_zero_aclnn_kernel.h,,has_custom_dispatch
aclnnNonzeroV2,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InnerNonZero,InnerNonZero,,,,InnerNonZero,InnerNonZeroAscend,,True,InnerNonZeroAscend,kernel_mod_impl/customize/inner_non_zero_aclnn_kernel.cc;kernel_mod_impl/customize/inner_non_zero_aclnn_kernel.h,,has_custom_dispatch
aclnnNorm,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,Norm,Norm,,,,Norm,NormAscend,Norm,False,NormAscend,kernel_mod_impl/customize/norm_aclnn_kernel.cc;kernel_mod_impl/customize/norm_aclnn_kernel.h,,has_custom_dispatch
aclnnNormRopeConcat,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNormRopeConcatBackward,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnNormalFloatFloat,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,NormalFloatFloat,NormalFloatFloat,,,,NormalFloatFloat,NormalFloatFloatAscend,NormalFloatFloat,False,NormalFloatFloatAscend,kernel_mod_impl/customize/normal_float_float_aclnn_kernel.cc;kernel_mod_impl/customize/normal_float_float_aclnn_kernel.h,,has_custom_dispatch
