aclnn_api,mindspore,pyboost,kbk,kernel_mod_src,pyboost_src,kernel_mod_gen,pyboost_gen,evidence,via_ops,via_kernel_mod_src,via_pyboost_src,via_kernel_mod_gen,via_pyboost_gen,custom_dispatch_ops,custom_dispatch_names,direct_match,suspected_fusion,cpp_funcs,kernel_mod_files,pyboost_files,remarks
aclnnInplaceMuls,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceMuls,InplaceMuls,,,,InplaceMuls,InplaceMulsAscend,InplaceMuls,False,InplaceMulsAclnnKernelMod,kernel_mod_impl/customize/inplace_muls_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_muls_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceNanToNum,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceNeScalar,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceNeTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceNeg,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceNormal,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceNormal;Randn;RandnLike,InplaceNormal;Randn;RandnLike,,,,InplaceNormal,InplaceNormalAscend,InplaceNormal,False,InplaceNormalAscend;RandnAscend,kernel_mod_impl/customize/inplace_normal_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_normal_aclnn_kernel.h;kernel_mod_impl/customize/randn_aclnn_kernel.cc;kernel_mod_impl/customize/randn_aclnn_kernel.h,,shared_by_3_ops;has_custom_dispatch
aclnnInplaceNormalTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceOne,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,Ones;OnesLikeExt,Ones;OnesLikeExt,,,,,,,True,OnesAscendCall;OnesLikeExtAscendCall,kernel_mod_impl/customize/ones_aclnn_kernel.cc;kernel_mod_impl/customize/ones_aclnn_kernel.h;kernel_mod_impl/customize/ones_like_ext_aclnn_kernel.cc;kernel_mod_impl/customize/ones_like_ext_aclnn_kernel.h,,shared_by_2_ops
aclnnInplacePowTensorScalar,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplacePowTensorTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplacePut,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplacePut,InplacePut,,,,InplacePut,InplacePutAscend,InplacePut,False,InplacePutAscend,kernel_mod_impl/customize/inplace_put_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_put_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceQuantMatmulAllReduceAddRmsNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceQuantScatter,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceRReluWithNoise,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceRandom,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,RandInt,RandInt,,,,InplaceRandom,InplaceRandomAscend,,True,RandIntAscend,kernel_mod_impl/customize/randint_aclnn_kernel.cc;kernel_mod_impl/customize/randint_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceRandomTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceReciprocal,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceRelu,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,InplaceReLU,InplaceReLU,,,,,,InplaceReLU,False,InplaceReLUAclnnKernelMod,kernel_mod_impl/customize/inplace_relu_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_relu_aclnn_kernel.h,,
aclnnInplaceRemainderTensorScalar,✅,✅,✅,✖️,✖️,✖️,✖️,custom_dispatch,,,,,,InplaceRemainderTensorScalar,InplaceRemainderTensorScalarAscend,,False,,,,has_custom_dispatch
aclnnInplaceRemainderTensorTensor,✅,✅,✅,✖️,✖️,✖️,✖️,custom_dispatch,,,,,,InplaceRemainderTensorTensor,InplaceRemainderTensorTensorAscend,,False,,,,has_custom_dispatch
aclnnInplaceRenorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceRound,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceRoundDecimals,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceRsqrt,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceScatter,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,InplaceScatterSrc,InplaceScatterSrc,,,,,,,True,InplaceScatterSrcAscend,kernel_mod_impl/customize/inplace_scatter_src_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_scatter_src_aclnn_kernel.h,,
aclnnInplaceScatterUpdate,✅,✖️,✅,✅,✖️,✖️,✖️,kernel_mod_src,KVCacheScatterUpdate,KVCacheScatterUpdate,,,,,,,True,KVCacheScatterUpdateAscend,kernel_mod_impl/customize/kv_cache_scatter_update_aclnn_kernel.cc;kernel_mod_impl/customize/kv_cache_scatter_update_aclnn_kernel.h,,
aclnnInplaceScatterValue,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceScatterValue,InplaceScatterValue,,,,InplaceScatterValue,InplaceScatterValueAscend,InplaceScatterValue,False,InplaceScatterValueAscend,kernel_mod_impl/customize/inplace_scatter_value_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_scatter_value_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceSelu,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceSigmoid,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceSigmoid,InplaceSigmoid,,,,InplaceSigmoid,InplaceSigmoidAscend,InplaceSigmoid,False,InplaceSigmoidAscend,kernel_mod_impl/customize/inplace_sigmoid_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_sigmoid_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceSin,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceSinc,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceSinh,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceSqrt,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceSub,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceSubs,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceSubScalar,InplaceSubScalar,,,,InplaceSubScalar,InplaceSubScalarAscend,,True,InplaceSubScalarAscend,kernel_mod_impl/customize/inplace_sub_scalar_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_sub_scalar_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceTan,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceTanh,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceTanh,InplaceTanh,,,,InplaceTanh,InplaceTanhAscend,InplaceTanh,False,InplaceTanhAscend,kernel_mod_impl/customize/inplace_tanh_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_tanh_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceThreshold,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceThreshold,InplaceThreshold,,,,InplaceThreshold,InplaceThresholdAscend,InplaceThreshold,False,InplaceThresholdAscend,kernel_mod_impl/customize/inplace_threshold_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_threshold_aclnn_kernel.h,,has_custom_dispatch
aclnnInplaceTril,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceTriu,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceTrunc,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceUniform,✅,✅,✅,✅,✖️,✖️,✖️,kernel_mod_src+custom_dispatch,InplaceUniform;RandExt;RandLikeExt;UniformExt,InplaceUniform;RandExt;RandLikeExt;UniformExt,,,,InplaceUniform;UniformExt,InplaceUniformAscend;UniformExtAscend,InplaceUniform,False,InplaceUniformAscend;RandExtAscend;UniformExtAscend,kernel_mod_impl/customize/inplace_uniform_aclnn_kernel.cc;kernel_mod_impl/customize/inplace_uniform_aclnn_kernel.h;kernel_mod_impl/customize/rand_ext_aclnn_kernel.cc;kernel_mod_impl/customize/rand_ext_aclnn_kernel.h;kernel_mod_impl/customize/uniform_ext_aclnn_kernel.cc;kernel_mod_impl/customize/uniform_ext_aclnn_kernel.h,,shared_by_4_ops;has_custom_dispatch
aclnnInplaceUniformTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceWeightQuantMatmulAllReduceAddRmsNorm,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceXLogYScalarOther,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
aclnnInplaceXLogYTensor,✖️,✖️,✖️,✖️,✖️,✖️,✖️,,,,,,,,,,False,,,,
